machine_id,start,end
5c7d725a0851b700014e70cb,2020/08/16/11,2020/10/01/11
5f2799d4a0d2fb0001758748,2020/10/08/03,2020/11/23/03
5d5ef675f1e8750001327bf5,2021/03/09/08,2021/04/24/08
5f3725eea829e5000116cf8e,2020/10/03/13,2020/11/18/13
5fcf9ffc235b110001ecb6a5,2021/01/05/17,2021/02/20/17
5e5690d86b4d3d00019d019e,2021/01/18/12,2021/03/05/12
5f3295774600950001f793fb,2021/02/07/22,2021/03/25/22
5ef8e735bf707300018e7422,2021/07/03/23,2021/08/18/23
5f57b56f2a08ae0001f9ac5b,2020/10/06/21,2020/11/21/21
604ee7e7160d530001f0432b,2021/04/25/08,2021/06/10/08
5eeb6eb6af6ac10001974326,2021/03/10/02,2021/04/25/02
603d5b720f61920001b839f1,2021/04/19/22,2021/06/04/22
5f16b5f7ab44ba000132d93a,2021/03/04/07,2021/04/19/07
5de548608afe10000101bd55,2020/11/04/20,2020/12/20/20
5eeb68c0af6ac10001973f63,2021/01/10/08,2021/02/25/08
6062230226bbc20001dfbc3a,2021/07/03/13,2021/08/18/13
5f54da3d75460200017586c9,2020/10/18/13,2020/12/03/13
6047ae45e6ddcb0001251673,2021/03/31/22,2021/05/16/22
5ce21791bbb4df0001b81457,2021/01/31/02,2021/03/18/02
5f17f66238d5f80001cab2d3,2021/01/29/13,2021/03/16/13
5ee3c7f7efc6dc000178bff9,2021/04/09/20,2021/05/25/20
5f4fd545b2238400018398a6,2021/03/08/18,2021/04/23/18
5f871b82789ec300012555d3,2020/11/11/13,2020/12/27/13
6062230226bbc20001dfbc2f,2021/05/04/08,2021/06/19/08
5e68ff5bbb3b530001d95420,2021/02/12/02,2021/03/30/02
5f3295774600950001f7940c,2021/01/14/15,2021/03/01/15
5e2e28c28d6c4800011f812c,2020/12/12/21,2021/01/27/21
5ef24793a7a71e00011889c3,2020/12/02/19,2021/01/17/19
5df1423f45a3bb0001007b80,2021/02/06/17,2021/03/24/17
5f8dc521a64a7b0001521b97,2020/12/09/04,2021/01/24/04
5db0bb8d0cc2d80001520523,2021/06/27/17,2021/08/12/17
5fa2c3005fd5bf00018dcf58,2021/03/16/09,2021/05/01/09
5fa3193eed7e450001ed89b7,2021/05/23/14,2021/07/08/14
5ea361cb7e020100011eae6e,2021/05/26/21,2021/07/11/21
5fa80fb4ff2b11000116d17b,2020/11/28/19,2021/01/13/19
